Type,Post Date,Description,Amount,Check or Slip #
CREDIT,04/21/2016,"Online Transfer from SAV ...9608 transaction#: 5341463846",150.00,
DEBIT,04/12/2016,"MONTHLY SERVICE FEE",-6.00,
DEBIT,04/06/2016,"Chase QuickPay Electronic Transfer 5309839088 to Jonathan Spandorf",-109.00,
DEBIT,03/10/2016,"SERVICE FEE",-6.00,
DEBIT,02/10/2016,"SERVICE FEE",-6.00,
DEBIT,02/05/2016,"Online Payment 5178596237 To CAPITAL ONE 02/05",-186.94,
DEBIT,01/13/2016,"SERVICE FEE",-6.00,
DEBIT,12/21/2015,"Online Payment 5080968346 To CAPITAL ONE 12/21",-56.18,
DEBIT,12/17/2015,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        12/17",95.00,
DEBIT,12/14/2015,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        12/11",3.65,
DEBIT,12/11/2015,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        12/11",-95.00,
DEBIT,12/11/2015,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        12/11",-7.35,
DEBIT,12/07/2015,"APL* ITUNES.COM/BILL 866-712-7753 CA         12/04",-5.43,
CHECK,12/03/2015,"CHECK 1010 ",-200.00,1010
DEBIT,11/10/2015,"FS *binaryage 877-3278914 CA                 11/09",-9.00,
CREDIT,11/09/2015,"Online Transfer from SAV ...9608 transaction#: 4992750319",1000.00,
CREDIT,11/09/2015,"VENMO-0          CASHOUT    119103175       CCD ID: 1264681992",600.00,
DEBIT,11/09/2015,"Online Payment 4992765370 To CAPITAL ONE 11/09",-1272.99,
DEBIT,10/26/2015,"SKYPE.COM LUXEMBOURG                         10/21",-10.00,
DEBIT,10/22/2015,"LULA BAGEL BROOKLYN NY                       10/20",-7.25,
DEBIT,10/22/2015,"MCDONALD'S F36312 JAMAICA NY                 10/20",-4.22,
DEBIT,10/21/2015,"THE MEATBALL SHOP NEW YORK NY                10/19",-30.55,
DEBIT,10/21/2015,"UBER TECHNOLOGIES INC 866-576-1039 CA        10/20",-22.15,
DEBIT,10/20/2015,"TARGET T- 139 Flatbush Brooklyn NY           10/20",-67.70,
CREDIT,10/19/2015,"Online Transfer from SAV ...9608 transaction#: 4948623636",800.00,
CREDIT,10/19/2015,"Online Transfer from SAV ...9608 transaction#: 4946592013",600.00,
DEBIT,10/19/2015,"ROASTING PLANT COFFEE NEW YORK NY            10/16",-2.18,
DEBIT,10/19/2015,"NYCDOT PARKING METERS LONG IS CITY NY        10/16",-1.50,
DEBIT,10/19/2015,"DUNKIN #302813     Q35 CARTERET NJ           10/16",-5.85,
DEBIT,10/19/2015,"LULA BAGEL BROOKLYN NY                       10/17",-13.00,
DEBIT,10/19/2015,"MTA VENDING MACHINES NEW YORK NY     846569  10/17",-31.00,
